ric,date,price,info,pass,start_date,start_price
.DJI,1896-05-26,40.94,raw,0,,
.DJI,1896-05-27,40.58,raw,0,,
.DJI,1896-05-28,40.2,raw,0,,
.DJI,1896-05-29,40.63,raw,0,,
.DJI,1896-05-30,40.63,raw,0,,
.DJI,1896-06-01,40.6,raw,0,,
.DJI,1896-06-02,40.04,raw,0,,
.DJI,1896-06-03,39.77,raw,0,,
.DJI,1896-06-04,39.94,raw,0,,
.DJI,1896-06-05,40.32,raw,0,,
.DJI,1896-06-06,40.34,raw,0,,
.DJI,1896-06-08,39.81,raw,0,,
.DJI,1896-06-09,39.34,raw,0,,
.DJI,1896-06-10,38.41,raw,0,,
.DJI,1896-06-11,39.4,raw,0,,
.DJI,1896-06-12,39.31,raw,0,,
.DJI,1896-06-13,39.55,raw,0,,
.DJI,1896-06-15,39.93,raw,0,,
.DJI,1896-06-16,40.45,raw,0,,
.DJI,1896-06-17,40.54,raw,0,,
.DJI,1896-06-18,39.76,raw,0,,
.DJI,1896-06-19,40.03,raw,0,,
.DJI,1896-06-20,39.89,raw,0,,
.DJI,1896-06-22,38.73,raw,0,,
.DJI,1896-06-23,38.14,raw,0,,
.DJI,1896-06-24,38.27,raw,0,,
.DJI,1896-06-25,37.97,raw,0,,
.DJI,1896-06-26,37.89,raw,0,,
.DJI,1896-06-27,37.04,raw,0,,
.DJI,1896-06-29,35.53,raw,0,,
.DJI,1896-06-30,36.15,raw,0,,
.DJI,1896-07-01,34.59,raw,0,,
.DJI,1896-07-02,34.91,raw,0,,
.DJI,1896-07-03,34.74,raw,0,,
.DJI,1896-07-04,34.74,raw,0,,
.DJI,1896-07-06,34.87,raw,0,,
.DJI,1896-07-07,35.15,raw,0,,
.DJI,1896-07-08,35.19,raw,0,,
.DJI,1896-07-09,34.68,raw,0,,
.DJI,1896-07-10,34.84,raw,0,,
.DJI,1896-07-11,35.6,raw,0,,
.DJI,1896-07-13,34.69,raw,0,,
.DJI,1896-07-14,33.43,raw,0,,
.DJI,1896-07-15,32.28,raw,0,,
.DJI,1896-07-16,31.95,raw,0,,
.DJI,1896-07-17,31.94,raw,0,,
.DJI,1896-07-18,31.5,raw,0,,
.DJI,1896-07-20,30.5,raw,0,,
.DJI,1896-07-21,30.68,raw,0,,
.DJI,1896-07-22,31.99,raw,0,,
.DJI,1896-07-23,32.29,raw,0,,
.DJI,1896-07-24,31.54,raw,0,,
.DJI,1896-07-25,31.68,raw,0,,
.DJI,1896-07-27,31.46,raw,0,,
.DJI,1896-07-28,30.82,raw,0,,
.DJI,1896-07-29,30.97,raw,0,,
.DJI,1896-07-30,31.48,raw,0,,
.DJI,1896-07-31,32.02,raw,0,,
.DJI,1896-08-01,31.74,raw,0,,
.DJI,1896-08-03,31.49,raw,0,,
.DJI,1896-08-04,30.99,raw,0,,
.DJI,1896-08-05,30.93,raw,0,,
.DJI,1896-08-06,29.99,raw,0,,
.DJI,1896-08-07,28.66,raw,0,,
.DJI,1896-08-08,28.48,raw,0,,
.DJI,1896-08-10,28.96,raw,0,,
.DJI,1896-08-11,30.3,raw,0,,
.DJI,1896-08-12,29.37,raw,0,,
.DJI,1896-08-13,30.37,raw,0,,
.DJI,1896-08-14,30.73,raw,0,,
.DJI,1896-08-15,30.61,raw,0,,
.DJI,1896-08-17,31.06,raw,0,,
.DJI,1896-08-18,30.99,raw,0,,
.DJI,1896-08-19,31.31,raw,0,,
.DJI,1896-08-20,30.72,raw,0,,
.DJI,1896-08-21,30.55,raw,0,,
.DJI,1896-08-22,30.91,raw,0,,
.DJI,1896-08-24,30.67,raw,0,,
.DJI,1896-08-25,30.61,raw,0,,
.DJI,1896-08-26,30.29,raw,0,,
.DJI,1896-08-27,30.31,raw,0,,
.DJI,1896-08-28,30.88,raw,0,,
.DJI,1896-08-29,31.24,raw,0,,
.DJI,1896-08-31,31.97,raw,0,,
.DJI,1896-09-01,32.02,raw,0,,
.DJI,1896-09-02,33.49,raw,0,,
.DJI,1896-09-03,33.8,raw,0,,
.DJI,1896-09-04,34.7,raw,0,,
.DJI,1896-09-05,35.07,raw,0,,
.DJI,1896-09-07,35.07,raw,0,,
.DJI,1896-09-08,35.5,raw,0,,
.DJI,1896-09-09,35.39,raw,0,,
.DJI,1896-09-10,34.58,raw,0,,
.DJI,1896-09-11,35.3,raw,0,,
.DJI,1896-09-12,35.02,raw,0,,
.DJI,1896-09-14,34.86,raw,0,,
.DJI,1896-09-15,34.13,raw,0,,
.DJI,1896-09-16,33.32,raw,0,,
.DJI,1896-09-17,34.33,raw,0,,
.DJI,1896-09-18,34.81,raw,0,,
.DJI,1896-09-19,35.03,raw,0,,
.DJI,1896-09-21,35.53,raw,0,,
.DJI,1896-09-22,35.59,raw,0,,
