ts_id,date,value,info,pass,bardate,open_date,open,diff,relrtrn,d_days,RatioToPrev,RatioToPPrev
CAD=,1999-03-15,1.53,Top,1,1999-03-15,1999-03-15,1.5,0.03,2,0,,
CAD=,1999-05-11,1.45,Bottom,1,1999-05-10,1999-03-15,1.53,-0.08,-5.23,57,,
CAD=,1999-07-26,1.51,Top,1,1999-07-26,1999-05-11,1.45,0.06,4.13,76,,
CAD=,1999-08-13,1.48,Bottom,1,1999-08-13,1999-07-26,1.51,-0.03,-1.99,18,-0.5,0.37
CAD=,1999-08-23,1.5,Top,1,1999-08-23,1999-08-13,1.48,0.02,1.35,10,-0.67,0.33
CAD=,1999-09-28,1.46,Bottom,1,1999-09-20,1999-08-23,1.5,-0.04,-2.67,36,-2,1.33
CAD=,1999-10-18,1.6,Top,1,1999-10-04,1999-09-28,1.46,0.14,9.58,20,-3.5,7
CAD=,2000-01-27,1.43,Bottom,1,2000-01-10,1999-10-18,1.6,-0.17,-10.63,101,-1.22,4.25
CAD=,2000-05-23,1.51,Top,1,2000-05-08,2000-01-27,1.43,0.08,5.59,117,-0.48,0.57
CAD=,2000-07-24,1.46,Bottom,1,2000-07-05,2000-05-23,1.51,-0.05,-3.32,62,-0.63,0.29
CAD=,2000-11-20,1.56,Top,1,2000-11-20,2000-07-24,1.46,0.1,6.84,119,-2,1.25
CAD=,2001-02-01,1.49,Bottom,1,2001-01-23,2000-11-20,1.56,-0.07,-4.49,73,-0.7,1.4
CAD=,2001-04-03,1.58,Top,1,2001-04-03,2001-02-01,1.49,0.09,6.04,61,-1.29,0.9
CAD=,2001-06-29,1.51,Bottom,1,2001-06-18,2001-04-03,1.58,-0.07,-4.44,87,-0.78,1
CAD=,2001-11-12,1.6,Top,1,2001-11-12,2001-06-29,1.51,0.09,5.96,136,-1.29,1
CAD=,2001-12-14,1.56,Bottom,1,2001-11-21,2001-11-12,1.6,-0.04,-2.51,32,-0.45,0.57
CAD=,2002-01-21,1.61,Top,1,2002-01-08,2001-12-14,1.56,0.05,3.2,38,-1.25,0.55
CAD=,2002-01-31,1.58,Bottom,1,2002-01-31,2002-01-21,1.61,-0.03,-1.87,10,-0.6,0.75
CAD=,2002-02-26,1.61,Top,1,2002-02-11,2002-01-31,1.58,0.03,1.89,26,-1,0.6
CAD=,2002-03-20,1.58,Bottom,1,2002-03-13,2002-02-26,1.61,-0.03,-1.87,22,-1,1
CAD=,2002-04-01,1.6,Top,1,2002-04-01,2002-03-20,1.58,0.02,1.26,12,-0.67,0.66
CAD=,2002-07-09,1.51,Bottom,1,2002-07-02,2002-04-01,1.6,-0.09,-5.63,99,-4.5,3
CAD=,2002-08-05,1.6,Top,1,2002-08-05,2002-07-09,1.51,0.09,5.96,27,-1,4.5
CAD=,2002-08-27,1.55,Bottom,1,2002-08-19,2002-08-05,1.6,-0.05,-3.13,22,-0.56,0.55
CAD=,2002-10-08,1.6,Top,1,2002-10-01,2002-08-27,1.55,0.05,3.22,42,-1,0.55
CAD=,2003-06-13,1.33,Bottom,1,2003-06-13,2002-10-08,1.6,-0.27,-16.88,248,-5.4,5.39
CAD=,2003-07-22,1.42,Top,1,2003-07-22,2003-06-13,1.33,0.09,6.76,39,-0.34,1.79
CAD=,2003-12-01,1.3,Bottom,1,2003-11-24,2003-07-22,1.42,-0.12,-8.46,132,-1.34,0.44
CAD=,2003-12-19,1.34,Top,1,2003-12-01,2003-12-01,1.3,0.04,3.07,18,-0.34,0.44
